text,label
I feel broken,Depression
My heart is racing,Anxiety
I have too much work,Stress
I feel confident,Happy
I attended class,Neutral
I feel empty inside,Depression
I cannot relax,Anxiety
I have too many responsibilities,Stress
I feel confident,Happy
I went shopping,Neutral
Life feels meaningless,Depression
I cannot relax,Anxiety
I am mentally tired,Stress
I enjoyed my day,Happy
Today was normal,Neutral
I hate myself,Depression
I feel panic,Anxiety
I have too much work,Stress
I am very happy,Happy
Today was normal,Neutral
I feel worthless,Depression
I feel worried,Anxiety
I am mentally tired,Stress
I feel proud,Happy
I watched a movie,Neutral
I feel hopeless and tired,Depression
I feel nervous,Anxiety
I cannot handle workload,Stress
I achieved my goal,Happy
I had dinner,Neutral
I feel hopeless and tired,Depression
I feel uneasy,Anxiety
Deadlines are stressing me,Stress
I feel excited,Happy
Today was normal,Neutral
I feel lost,Depression
I feel worried,Anxiety
I am exhausted from work,Stress
I feel joyful,Happy
I completed homework,Neutral
I feel lost,Depression
I feel uneasy,Anxiety
I feel pressure,Stress
I feel confident,Happy
I traveled by bus,Neutral
I feel broken,Depression
I feel worried,Anxiety
Deadlines are stressing me,Stress
I enjoyed my day,Happy
I went shopping,Neutral
I feel hopeless and tired,Depression
I cannot relax,Anxiety
I am mentally tired,Stress
I feel proud,Happy
I studied,Neutral
I feel worthless,Depression
I feel worried,Anxiety
I am exhausted from work,Stress
I feel joyful,Happy
I cleaned my room,Neutral
Life feels meaningless,Depression
I feel worried,Anxiety
I am overloaded with tasks,Stress
I feel proud,Happy
I attended class,Neutral
I feel lost,Depression
My heart is racing,Anxiety
I have too many responsibilities,Stress
I feel excited,Happy
I traveled by bus,Neutral
I feel broken,Depression
I am very anxious,Anxiety
I have too many responsibilities,Stress
I feel amazing today,Happy
I had dinner,Neutral
Life feels meaningless,Depression
I feel worried,Anxiety
I cannot handle workload,Stress
I feel proud,Happy
I watched a movie,Neutral
Nothing makes me happy,Depression
I overthink everything,Anxiety
I am mentally tired,Stress
I feel excited,Happy
I watched a movie,Neutral
Nothing makes me happy,Depression
I am scared of failing,Anxiety
I feel burned out,Stress
I feel confident,Happy
Today was normal,Neutral
I feel lost,Depression
I feel nervous,Anxiety
I feel pressure,Stress
I achieved my goal,Happy
Today was normal,Neutral
I feel broken,Depression
I am very anxious,Anxiety
I feel pressure,Stress
I feel joyful,Happy
I cleaned my room,Neutral
Nothing makes me happy,Depression
I cannot relax,Anxiety
I am exhausted from work,Stress
I feel excited,Happy
I went shopping,Neutral
Nothing makes me happy,Depression
I feel nervous,Anxiety
I am exhausted from work,Stress
I am very happy,Happy
I watched a movie,Neutral
I feel worthless,Depression
I feel nervous,Anxiety
I feel pressure,Stress
I feel joyful,Happy
I had dinner,Neutral
I feel lonely,Depression
I cannot relax,Anxiety
I am overloaded with tasks,Stress
I feel proud,Happy
I watched a movie,Neutral
I feel lost,Depression
I feel panic,Anxiety
I am overloaded with tasks,Stress
I feel proud,Happy
I studied,Neutral
I feel worthless,Depression
I am very anxious,Anxiety
I am overloaded with tasks,Stress
I achieved my goal,Happy
I had dinner,Neutral
Life feels meaningless,Depression
I feel panic,Anxiety
I feel pressure,Stress
Today was wonderful,Happy
I attended class,Neutral
Life feels meaningless,Depression
My heart is racing,Anxiety
I have too many responsibilities,Stress
I feel proud,Happy
I attended class,Neutral
I feel hopeless and tired,Depression
I feel uneasy,Anxiety
Deadlines are stressing me,Stress
I am very happy,Happy
I went to college,Neutral
I feel worthless,Depression
I feel panic,Anxiety
I cannot handle workload,Stress
I feel joyful,Happy
I went to college,Neutral
I feel lonely,Depression
I cannot relax,Anxiety
I feel burned out,Stress
I feel confident,Happy
Today was normal,Neutral
I feel worthless,Depression
I am very anxious,Anxiety
I cannot handle workload,Stress
I achieved my goal,Happy
Today was normal,Neutral
Nothing makes me happy,Depression
I cannot relax,Anxiety
I have too many responsibilities,Stress
I achieved my goal,Happy
I watched a movie,Neutral
Nothing makes me happy,Depression
I feel tense,Anxiety
Deadlines are stressing me,Stress
I enjoyed my day,Happy
I watched a movie,Neutral
I feel broken,Depression
I am very anxious,Anxiety
I have too much work,Stress
I am very happy,Happy
I studied,Neutral
I feel hopeless and tired,Depression
I feel worried,Anxiety
I feel drained,Stress
I am very happy,Happy
I completed homework,Neutral
I feel lonely,Depression
I am scared of failing,Anxiety
I feel burned out,Stress
I enjoyed my day,Happy
I went to college,Neutral
I feel lonely,Depression
I overthink everything,Anxiety
I feel drained,Stress
I feel joyful,Happy
I watched a movie,Neutral
I feel hopeless and tired,Depression
I feel tense,Anxiety
I am mentally tired,Stress
Today was wonderful,Happy
I went to college,Neutral
Life feels meaningless,Depression
I feel worried,Anxiety
I am exhausted from work,Stress
I am very happy,Happy
I watched a movie,Neutral
I hate myself,Depression
I am very anxious,Anxiety
I am overloaded with tasks,Stress
I enjoyed my day,Happy
I went to college,Neutral
I feel broken,Depression
I feel uneasy,Anxiety
I feel pressure,Stress
I achieved my goal,Happy
I traveled by bus,Neutral
I regret everything,Depression
My heart is racing,Anxiety
I feel drained,Stress
I achieved my goal,Happy
I cleaned my room,Neutral
I feel empty inside,Depression
I feel panic,Anxiety
I feel burned out,Stress
I feel joyful,Happy
I watched a movie,Neutral
I feel worthless,Depression
I feel nervous,Anxiety
I am mentally tired,Stress
I feel excited,Happy
I attended class,Neutral
I hate myself,Depression
I feel panic,Anxiety
I am overloaded with tasks,Stress
I feel proud,Happy
I had dinner,Neutral
I regret everything,Depression
I feel nervous,Anxiety
I am mentally tired,Stress
I feel confident,Happy
I traveled by bus,Neutral
Nothing makes me happy,Depression
I feel tense,Anxiety
I have too much work,Stress
Today was wonderful,Happy
I completed homework,Neutral
I feel worthless,Depression
I feel uneasy,Anxiety
I feel pressure,Stress
I feel confident,Happy
I cleaned my room,Neutral
I feel worthless,Depression
I feel worried,Anxiety
I have too many responsibilities,Stress
I achieved my goal,Happy
I completed homework,Neutral
I feel lost,Depression
I am very anxious,Anxiety
I have too many responsibilities,Stress
I feel joyful,Happy
I went shopping,Neutral
I feel empty inside,Depression
I feel nervous,Anxiety
I am mentally tired,Stress
I enjoyed my day,Happy
Today was normal,Neutral
I feel worthless,Depression
I feel nervous,Anxiety
I cannot handle workload,Stress
I feel joyful,Happy
I watched a movie,Neutral
Life feels meaningless,Depression
I feel panic,Anxiety
I feel burned out,Stress
I feel amazing today,Happy
I completed homework,Neutral
I feel hopeless and tired,Depression
I feel panic,Anxiety
I cannot handle workload,Stress
I feel joyful,Happy
I went shopping,Neutral
I feel lonely,Depression
I cannot relax,Anxiety
I am overloaded with tasks,Stress
I enjoyed my day,Happy
I had dinner,Neutral
I regret everything,Depression
I feel tense,Anxiety
Deadlines are stressing me,Stress
I am very happy,Happy
I had dinner,Neutral
I feel worthless,Depression
I feel nervous,Anxiety
I am exhausted from work,Stress
I feel excited,Happy
I had dinner,Neutral
I feel worthless,Depression
I feel worried,Anxiety
I have too many responsibilities,Stress
I feel joyful,Happy
I went to college,Neutral
I feel empty inside,Depression
I cannot relax,Anxiety
I cannot handle workload,Stress
I feel proud,Happy
I attended class,Neutral
